,linearized controller
$	heta$ MAE (rad),0.16251992902168694
$\phi$ MAE (rad),0.3043257039081216
$	heta$ MSSE (rad),0.01853455713468417
$\phi$ MSSE (rad),0.13157133015914008
$	heta$ in bounds (%),100.0
$\phi$ in bounds (%),87.0
$	heta$ unsteady (%),0.0
$\phi$ unsteady (%),0.0
$	heta$ rise time (s),1.1889447236180906
$\phi$ rise time (s),1.067405995494715
$	heta$ settling time (s),1.2593897321659848
$\phi$ settling time (s),1.8700646087580761
u1 (V),0.7295172692034159
u2 (V),0.6837041800745289
u1 variation (V),0.191186580394827
u2 variation (V),0.12319075509413624
Convergence time (min),0.0
