,linearized controller
$	heta$ MAE (rad),0.1506756263701416
$\phi$ MAE (rad),0.28087066006710715
$	heta$ MSSE (rad),0.0183723934874702
$\phi$ MSSE (rad),0.12288584078229384
$	heta$ in bounds (%),100.0
$\phi$ in bounds (%),90.0
$	heta$ unsteady (%),0.0
$\phi$ unsteady (%),0.0
$	heta$ rise time (s),1.1055276381909551
$\phi$ rise time (s),1.3037409268565048
$	heta$ settling time (s),1.183813805871463
$\phi$ settling time (s),1.9218183942970672
u1 (V),0.7358831930197379
u2 (V),0.5962374666990904
u1 variation (V),0.16758073488113545
u2 variation (V),0.11351924481947043
Convergence time (min),0.0
